orderid,customerid,orderdate,shippingdate,expecteddeliverydate,actualdeliverydate,shippingtierid,supplierid,orderchannel
OR-21602,CUST-12621,20-06-2024 08:33,22-06-2024 01:32,23-06-2024 15:59,23-06-2024 04:27,SHP-001,SUP-05,Online
OR-21616,CUST-00007,02-09-2019 01:15,08-09-2019 18:41,17-09-2019 06:58,15-09-2019 01:10,SHP-002,SUP-07,Online
OR-21623,CUST-16588,13-01-2023 15:00,22-01-2023 02:49,25-01-2023 22:36,23-01-2023 19:02,SHP-002,SUP-04,Online
OR-21627,CUST-03947,27-02-2024 21:13,04-03-2024 18:38,21-03-2024 22:03,17-03-2024 16:44,SHP-001,SUP-02,Online
OR-21636,CUST-08984,16-06-2024 07:38,16-06-2024 07:48,16-06-2024 08:06,16-06-2024 07:56,SHP-004,SUP-09,Retail PoS
OR-21639,CUST-06913,07-08-2016 06:15,07-08-2016 06:23,07-08-2016 06:44,07-08-2016 06:39,SHP-004,SUP-01,Retail PoS
OR-21647,CUST-00961,04-11-2023 01:28,07-11-2023 20:11,28-11-2023 00:19,24-11-2023 18:47,SHP-003,SUP-02,Online
OR-21671,CUST-10219,10-08-2023 07:48,14-08-2023 04:16,14-08-2023 10:52,14-08-2023 00:52,SHP-005,SUP-08,Retail PoS
OR-21676,CUST-06892,30-08-2019 00:16,02-09-2019 19:10,04-09-2019 16:43,04-09-2019 10:42,SHP-001,SUP-06,Online
OR-21682,CUST-18137,28-08-2015 02:47,04-09-2015 03:54,09-09-2015 08:58,04-10-2015 13:37,SHP-001,SUP-05,Online
OR-21684,CUST-19679,05-04-2009 15:54,09-04-2009 15:33,12-04-2009 13:35,11-04-2009 12:47,SHP-001,SUP-07,Online
OR-21688,CUST-12399,07-01-2022 03:28,15-01-2022 04:09,04-02-2022 15:35,01-03-2022 02:45,SHP-001,SUP-05,Online
OR-21692,CUST-14118,19-09-2020 13:18,23-09-2020 22:43,01-10-2020 21:50,01-11-2020 12:41,SHP-002,SUP-10,Online
OR-21697,CUST-07930,27-06-2024 08:28,03-07-2024 14:27,19-07-2024 14:13,20-07-2024 14:28,SHP-001,SUP-09,Online
OR-21699,CUST-02267,19-02-2022 02:35,19-02-2022 02:41,19-02-2022 03:01,19-02-2022 03:15,SHP-004,SUP-06,Retail PoS
OR-21701,CUST-04543,08-05-2023 07:57,08-05-2023 08:03,08-05-2023 08:24,08-05-2023 08:21,SHP-004,SUP-01,Retail PoS
OR-21703,CUST-00746,01-04-2021 13:07,03-04-2021 02:29,21-04-2021 05:37,14-04-2021 04:21,SHP-003,SUP-01,Online
OR-21711,CUST-02419,11-11-2012 10:32,11-11-2012 10:38,11-11-2012 10:54,11-11-2012 10:50,SHP-004,SUP-04,Retail PoS
OR-21714,CUST-03654,09-04-2020 18:05,12-04-2020 14:20,17-04-2020 21:10,02-05-2020 02:49,SHP-001,SUP-08,Online
OR-21718,CUST-09314,17-10-2009 23:47,17-10-2009 23:57,18-10-2009 00:17,18-10-2009 00:15,SHP-004,SUP-04,Retail PoS
OR-21719,CUST-05384,27-08-2019 03:38,28-08-2019 10:02,15-09-2019 05:13,09-09-2019 09:38,SHP-002,SUP-09,Online
OR-21722,CUST-05843,15-05-2024 07:22,17-05-2024 07:37,31-05-2024 15:48,16-06-2024 14:40,SHP-001,SUP-03,Online
OR-21733,CUST-14919,11-02-2015 22:37,13-02-2015 13:13,03-03-2015 02:09,16-02-2015 09:54,SHP-003,SUP-06,Online
OR-21734,CUST-14488,18-08-2020 01:28,18-08-2020 01:38,18-08-2020 01:54,18-08-2020 01:47,SHP-004,SUP-04,Retail PoS
OR-21735,CUST-14844,05-06-2024 16:33,07-06-2024 21:47,17-06-2024 15:51,14-06-2024 05:01,SHP-003,SUP-05,Online
OR-21739,CUST-00340,23-01-2023 18:31,26-01-2023 11:59,02-02-2023 13:50,19-02-2023 08:46,SHP-002,SUP-04,Online
OR-21756,CUST-02894,12-03-2021 07:50,19-03-2021 04:39,05-04-2021 00:40,31-03-2021 22:18,SHP-003,SUP-08,Online
OR-21764,CUST-18778,15-09-2023 02:48,19-09-2023 06:04,24-09-2023 22:01,23-09-2023 19:22,SHP-002,SUP-02,Online
OR-21766,CUST-18826,13-12-2016 02:56,18-12-2016 17:56,08-01-2017 17:01,05-02-2017 06:14,SHP-002,SUP-02,Online
OR-21772,CUST-18705,02-06-2023 03:15,12-06-2023 00:20,19-06-2023 11:08,30-06-2023 05:53,SHP-002,SUP-10,Online
OR-21787,CUST-14258,09-09-2020 06:55,13-09-2020 05:50,19-09-2020 13:00,14-09-2020 17:17,SHP-001,SUP-06,Online
OR-21798,CUST-16985,07-03-2017 08:09,10-03-2017 19:52,24-03-2017 04:25,13-03-2017 21:06,SHP-002,SUP-04,Online
OR-21801,CUST-03530,13-02-2024 07:40,22-02-2024 06:47,05-03-2024 17:46,05-04-2024 17:05,SHP-001,SUP-09,Online
OR-21808,CUST-07113,08-07-2023 00:39,08-07-2023 00:46,08-07-2023 01:04,08-07-2023 01:07,SHP-004,SUP-03,Retail PoS
OR-21811,CUST-02314,16-06-2022 21:22,16-06-2022 21:27,16-06-2022 21:49,16-06-2022 21:48,SHP-004,SUP-04,Retail PoS
OR-21819,CUST-18932,11-02-2024 03:49,18-02-2024 04:49,03-03-2024 07:07,22-02-2024 21:33,SHP-003,SUP-07,Online
OR-21823,CUST-17679,29-03-2022 06:38,29-03-2022 06:44,29-03-2022 07:02,29-03-2022 06:55,SHP-004,SUP-05,Retail PoS
OR-21858,CUST-00421,19-05-2021 23:23,25-05-2021 13:36,27-05-2021 06:04,27-05-2021 04:47,SHP-002,SUP-04,Online
OR-21863,CUST-17227,27-03-2020 14:34,30-03-2020 10:38,12-04-2020 22:14,31-03-2020 21:54,SHP-003,SUP-09,Online
OR-21866,CUST-06845,04-08-2023 20:10,04-08-2023 20:20,04-08-2023 20:40,04-08-2023 20:35,SHP-004,SUP-08,Retail PoS
OR-21871,CUST-09571,03-04-2024 01:53,04-04-2024 18:39,13-04-2024 03:26,08-04-2024 11:20,SHP-001,SUP-06,Online
OR-21875,CUST-07423,30-05-2024 05:07,08-06-2024 21:17,13-06-2024 07:22,23-06-2024 02:26,SHP-003,SUP-08,Online
OR-21882,CUST-09326,08-12-2018 02:01,15-12-2018 00:05,24-12-2018 14:18,18-12-2018 01:01,SHP-003,SUP-02,Online
OR-21908,CUST-18925,17-08-2016 22:52,26-08-2016 02:45,12-09-2016 19:17,10-09-2016 10:57,SHP-001,SUP-04,Online
OR-21910,CUST-01972,30-04-2024 04:03,30-04-2024 04:10,30-04-2024 04:31,30-04-2024 04:36,SHP-004,SUP-07,Retail PoS
OR-21919,CUST-05856,23-03-2024 17:17,23-03-2024 17:26,23-03-2024 17:45,23-03-2024 17:47,SHP-004,SUP-01,Retail PoS
OR-21933,CUST-07061,21-11-2023 19:12,27-11-2023 16:27,17-12-2023 23:16,09-01-2024 20:22,SHP-003,SUP-04,Online
OR-21935,CUST-02896,28-12-2023 08:06,29-12-2023 17:00,14-01-2024 20:28,31-12-2023 12:56,SHP-002,SUP-07,Online
OR-21940,CUST-17952,20-02-2021 09:55,02-03-2021 23:29,10-03-2021 07:05,08-03-2021 18:39,SHP-003,SUP-09,Online
OR-21948,CUST-19557,08-04-2021 02:25,08-04-2021 02:34,08-04-2021 02:45,08-04-2021 02:50,SHP-004,SUP-07,Retail PoS
OR-21954,CUST-00301,12-11-2022 02:48,18-11-2022 03:11,29-11-2022 19:03,26-11-2022 20:04,SHP-003,SUP-05,Online
OR-21966,CUST-10731,04-06-2024 18:05,13-06-2024 23:51,23-06-2024 05:38,10-07-2024 00:15,SHP-003,SUP-08,Online
OR-21984,CUST-19847,19-07-2019 14:08,27-07-2019 14:46,30-07-2019 03:18,28-07-2019 17:45,SHP-001,SUP-01,Online
OR-21996,CUST-01394,17-05-2017 02:59,17-05-2017 03:04,17-05-2017 03:27,17-05-2017 03:28,SHP-004,SUP-10,Retail PoS
OR-22000,CUST-12050,04-02-2024 09:57,09-02-2024 10:50,20-02-2024 01:15,08-03-2024 03:54,SHP-003,SUP-04,Online
OR-22009,CUST-19385,08-01-2024 11:02,18-01-2024 10:02,21-01-2024 08:30,12-02-2024 20:20,SHP-002,SUP-02,Online
OR-22010,CUST-11354,03-07-2023 00:39,13-07-2023 01:53,28-07-2023 11:08,27-07-2023 18:10,SHP-002,SUP-04,Online
OR-22016,CUST-11102,08-05-2019 06:39,08-05-2019 06:44,08-05-2019 07:05,08-05-2019 06:57,SHP-004,SUP-08,Retail PoS
OR-22025,CUST-17874,07-02-2016 23:12,15-02-2016 08:32,23-02-2016 23:14,18-02-2016 18:08,SHP-002,SUP-07,Online
OR-22044,CUST-11063,12-09-2020 20:46,14-09-2020 15:13,27-09-2020 08:22,28-09-2020 13:27,SHP-001,SUP-05,Online
OR-22052,CUST-02379,12-04-2022 11:30,19-04-2022 19:09,21-04-2022 00:16,20-04-2022 20:42,SHP-003,SUP-09,Online
OR-22064,CUST-03708,26-02-2022 12:20,07-03-2022 01:51,26-03-2022 09:31,13-03-2022 09:33,SHP-002,SUP-04,Online
OR-22067,CUST-05016,04-03-2024 23:30,13-03-2024 03:28,25-03-2024 09:06,21-03-2024 17:19,SHP-003,SUP-09,Online
OR-22077,CUST-00998,19-12-2018 23:01,19-12-2018 23:06,19-12-2018 23:22,19-12-2018 23:26,SHP-004,SUP-05,Retail PoS
OR-22082,CUST-05539,28-11-2021 06:14,07-12-2021 18:43,21-12-2021 09:54,14-01-2022 23:47,SHP-003,SUP-10,Online
OR-22111,CUST-04176,22-11-2023 16:02,27-11-2023 10:46,15-12-2023 09:26,09-12-2023 22:16,SHP-002,SUP-02,Online
OR-22119,CUST-00873,24-06-2019 14:50,25-06-2019 20:48,05-07-2019 02:58,27-06-2019 22:42,SHP-003,SUP-09,Online
OR-22131,CUST-07844,10-05-2024 04:41,16-05-2024 05:49,30-05-2024 07:45,27-05-2024 02:31,SHP-001,SUP-06,Online
OR-22137,CUST-10109,25-11-2023 02:45,26-11-2023 11:29,02-12-2023 05:51,23-12-2023 05:09,SHP-001,SUP-06,Online
OR-22138,CUST-12365,17-10-2023 13:13,17-10-2023 13:18,17-10-2023 13:43,17-10-2023 13:42,SHP-004,SUP-04,Retail PoS
OR-22149,CUST-01102,30-12-2014 18:51,30-12-2014 18:56,30-12-2014 19:16,30-12-2014 19:29,SHP-004,SUP-06,Retail PoS
OR-22157,CUST-19375,26-04-2020 03:25,27-04-2020 15:30,16-05-2020 21:15,22-05-2020 17:08,SHP-002,SUP-01,Online
OR-22162,CUST-06512,07-12-2020 05:11,13-12-2020 01:16,26-12-2020 00:43,23-12-2020 02:13,SHP-002,SUP-09,Online
OR-22168,CUST-11067,19-11-2023 00:51,26-11-2023 23:17,12-12-2023 01:29,02-12-2023 19:17,SHP-002,SUP-02,Online
OR-22177,CUST-11280,05-02-2023 04:38,05-02-2023 04:43,05-02-2023 05:00,05-02-2023 04:57,SHP-004,SUP-08,Retail PoS
OR-22197,CUST-04651,05-05-2023 04:56,05-05-2023 05:02,05-05-2023 05:22,05-05-2023 05:20,SHP-004,SUP-04,Retail PoS
OR-22212,CUST-18008,23-10-2022 07:06,29-10-2022 23:33,14-11-2022 08:34,18-11-2022 04:07,SHP-003,SUP-10,Online
OR-22219,CUST-09477,21-03-2023 12:29,28-03-2023 22:46,04-04-2023 00:59,30-03-2023 20:38,SHP-001,SUP-04,Online
OR-22222,CUST-07407,22-10-2018 03:43,22-10-2018 03:53,22-10-2018 04:12,22-10-2018 04:12,SHP-004,SUP-10,Retail PoS
OR-22225,CUST-09950,22-05-2024 22:25,25-05-2024 11:18,02-06-2024 02:23,21-06-2024 06:15,SHP-002,SUP-05,Online
OR-22228,CUST-11886,01-07-2024 13:07,01-07-2024 13:17,01-07-2024 13:35,01-07-2024 13:41,SHP-004,SUP-07,Retail PoS
OR-22234,CUST-08728,22-12-2023 04:16,22-12-2023 04:22,22-12-2023 04:41,22-12-2023 04:32,SHP-004,SUP-03,Retail PoS
OR-22235,CUST-07718,02-10-2009 18:48,07-10-2009 01:54,18-10-2009 03:34,17-10-2009 21:31,SHP-001,SUP-07,Online
OR-22236,CUST-07397,20-01-2017 23:37,27-01-2017 11:25,02-02-2017 01:01,24-02-2017 13:01,SHP-001,SUP-04,Online
OR-22238,CUST-03627,11-02-2011 16:44,18-02-2011 19:27,01-03-2011 04:50,26-03-2011 09:28,SHP-001,SUP-03,Online
OR-22241,CUST-06823,04-11-2016 11:11,12-11-2016 12:28,29-11-2016 01:23,23-11-2016 18:01,SHP-001,SUP-09,Online
OR-22245,CUST-02462,09-11-2023 13:50,18-11-2023 22:05,09-12-2023 00:19,08-12-2023 04:43,SHP-001,SUP-10,Online
OR-22252,CUST-19473,04-08-2023 02:21,04-08-2023 02:27,04-08-2023 02:47,04-08-2023 02:42,SHP-004,SUP-01,Retail PoS
OR-22262,CUST-15602,24-07-2017 09:06,24-07-2017 09:16,24-07-2017 09:34,24-07-2017 09:45,SHP-004,SUP-06,Retail PoS
OR-22277,CUST-10839,03-12-2022 22:07,08-12-2022 16:27,19-12-2022 01:14,03-01-2023 21:10,SHP-001,SUP-03,Online
OR-22279,CUST-05888,20-06-2024 09:51,24-06-2024 13:58,05-07-2024 19:30,01-07-2024 01:50,SHP-001,SUP-04,Online
OR-22294,CUST-06468,03-12-2019 19:13,03-12-2019 19:20,03-12-2019 19:33,03-12-2019 19:38,SHP-004,SUP-09,Retail PoS
OR-22300,CUST-07807,25-02-2020 05:57,27-02-2020 16:35,15-03-2020 18:44,04-03-2020 12:15,SHP-003,SUP-04,Online
OR-22302,CUST-04300,18-05-2022 06:25,21-05-2022 02:29,31-05-2022 06:52,22-06-2022 11:29,SHP-001,SUP-01,Online
OR-22306,CUST-19262,09-04-2022 02:30,14-04-2022 23:27,01-05-2022 18:50,14-05-2022 12:55,SHP-001,SUP-06,Online
OR-22314,CUST-01432,23-12-2023 21:13,23-12-2023 21:20,23-12-2023 21:37,23-12-2023 21:41,SHP-004,SUP-02,Retail PoS
OR-22324,CUST-16033,09-04-2010 23:00,13-04-2010 22:17,19-04-2010 21:38,16-04-2010 13:24,SHP-002,SUP-03,Online
OR-22327,CUST-17593,18-06-2024 09:49,19-06-2024 16:47,05-07-2024 15:58,27-06-2024 06:41,SHP-002,SUP-09,Online
OR-22330,CUST-18918,26-06-2021 07:13,06-07-2021 01:38,19-07-2021 18:00,11-08-2021 12:42,SHP-002,SUP-04,Online
OR-22337,CUST-14724,11-03-2024 01:24,20-03-2024 10:47,23-03-2024 08:32,21-03-2024 13:15,SHP-002,SUP-09,Online
OR-22339,CUST-03816,28-04-2005 07:55,08-05-2005 09:18,13-05-2005 22:37,09-05-2005 10:04,SHP-001,SUP-08,Online
OR-22343,CUST-14080,19-09-2023 01:49,19-09-2023 01:57,19-09-2023 02:17,19-09-2023 02:09,SHP-004,SUP-01,Retail PoS
OR-22345,CUST-14715,21-03-2021 06:48,01-04-2021 04:51,17-04-2021 00:05,22-04-2021 06:23,SHP-002,SUP-09,Online
OR-22358,CUST-07115,23-08-2022 10:16,29-08-2022 16:53,06-09-2022 00:01,02-09-2022 12:47,SHP-002,SUP-08,Online
OR-22360,CUST-03627,22-11-2016 08:09,23-11-2016 15:43,03-12-2016 08:05,27-11-2016 02:10,SHP-001,SUP-10,Online
OR-22361,CUST-04664,03-03-2024 23:53,04-03-2024 00:02,04-03-2024 00:22,04-03-2024 00:29,SHP-004,SUP-04,Retail PoS
OR-22365,CUST-00368,18-04-2024 12:02,26-04-2024 08:13,30-04-2024 10:36,30-04-2024 04:20,SHP-001,SUP-07,Online
OR-22373,CUST-19964,27-09-2023 19:10,27-09-2023 19:17,27-09-2023 19:32,27-09-2023 19:49,SHP-004,SUP-07,Retail PoS
OR-22376,CUST-01105,17-06-2023 06:01,19-06-2023 06:12,03-07-2023 20:50,19-07-2023 02:50,SHP-003,SUP-09,Online
OR-22377,CUST-14630,25-06-2019 01:47,25-06-2019 01:56,25-06-2019 02:07,25-06-2019 02:09,SHP-004,SUP-03,Retail PoS
OR-22383,CUST-11830,29-01-2024 09:38,29-01-2024 09:43,29-01-2024 10:04,29-01-2024 09:55,SHP-004,SUP-05,Retail PoS
OR-22387,CUST-01780,07-01-2021 06:59,17-01-2021 10:05,02-02-2021 13:51,02-03-2021 13:39,SHP-001,SUP-09,Online
OR-22400,CUST-03307,15-05-2018 22:16,15-05-2018 22:23,15-05-2018 22:39,15-05-2018 22:35,SHP-004,SUP-01,Retail PoS
OR-22409,CUST-05216,22-11-2016 06:30,23-11-2016 23:45,07-12-2016 18:10,17-12-2016 11:11,SHP-002,SUP-02,Online
OR-22413,CUST-02931,22-06-2015 23:06,22-06-2015 23:14,22-06-2015 23:28,22-06-2015 23:24,SHP-004,SUP-04,Retail PoS
OR-22415,CUST-06386,23-09-2009 11:47,23-09-2009 11:56,23-09-2009 12:14,23-09-2009 12:06,SHP-004,SUP-08,Retail PoS
OR-22430,CUST-13348,21-02-2022 19:19,03-03-2022 09:11,10-03-2022 23:29,05-03-2022 03:36,SHP-001,SUP-07,Online
OR-22432,CUST-06243,25-01-2023 04:36,28-01-2023 03:41,14-02-2023 12:13,23-02-2023 21:01,SHP-003,SUP-03,Online
OR-22441,CUST-00102,19-03-2007 02:16,19-03-2007 02:24,19-03-2007 02:39,19-03-2007 02:36,SHP-004,SUP-04,Retail PoS
OR-22448,CUST-03872,18-03-2023 15:06,25-03-2023 08:34,02-04-2023 10:15,31-03-2023 08:25,SHP-003,SUP-04,Online
OR-22452,CUST-16827,11-04-2013 02:29,11-04-2013 02:38,11-04-2013 02:55,11-04-2013 02:46,SHP-004,SUP-04,Retail PoS
OR-22454,CUST-09505,01-03-2024 15:15,07-03-2024 23:25,16-03-2024 09:47,13-03-2024 12:54,SHP-002,SUP-08,Online
OR-22465,CUST-06192,28-04-2021 19:52,02-05-2021 22:34,13-05-2021 03:45,11-05-2021 00:27,SHP-003,SUP-07,Online
OR-22469,CUST-06344,05-08-2016 00:07,05-08-2016 00:15,05-08-2016 00:35,05-08-2016 00:25,SHP-004,SUP-09,Retail PoS
OR-22472,CUST-16168,22-04-2021 02:58,22-04-2021 03:03,22-04-2021 03:24,22-04-2021 03:26,SHP-004,SUP-09,Retail PoS
OR-22480,CUST-17621,24-06-2024 02:25,04-07-2024 06:36,20-07-2024 10:09,13-07-2024 23:11,SHP-001,SUP-04,Online
OR-22482,CUST-08071,22-11-2023 02:12,25-11-2023 06:45,08-12-2023 09:22,05-12-2023 08:10,SHP-001,SUP-01,Online
OR-22486,CUST-19714,19-02-2023 07:45,25-02-2023 22:20,16-03-2023 07:58,28-03-2023 17:52,SHP-002,SUP-09,Online
OR-22487,CUST-05656,03-03-2024 06:03,07-03-2024 14:36,16-03-2024 21:56,16-03-2024 00:11,SHP-005,SUP-01,Retail PoS
OR-22490,CUST-12090,01-05-2009 17:37,12-05-2009 11:22,23-05-2009 22:06,12-06-2009 07:08,SHP-002,SUP-06,Online
OR-22503,CUST-02165,22-04-2024 05:49,28-04-2024 22:36,11-05-2024 04:23,31-05-2024 06:05,SHP-001,SUP-04,Online
OR-22511,CUST-18467,18-10-2023 22:47,24-10-2023 07:58,02-11-2023 17:16,18-11-2023 03:06,SHP-001,SUP-08,Online
OR-22528,CUST-10312,29-11-2015 05:10,29-11-2015 05:17,29-11-2015 05:31,29-11-2015 05:29,SHP-004,SUP-05,Retail PoS
OR-22535,CUST-12168,29-03-2022 15:25,30-03-2022 15:56,06-04-2022 18:33,05-04-2022 10:21,SHP-002,SUP-04,Online
OR-22542,CUST-07402,02-02-2021 05:59,11-02-2021 12:29,22-02-2021 04:27,13-02-2021 10:09,SHP-002,SUP-01,Online
OR-22553,CUST-09078,08-12-2023 14:43,08-12-2023 14:48,08-12-2023 15:03,08-12-2023 15:02,SHP-004,SUP-03,Retail PoS
OR-22569,CUST-14749,06-06-2023 03:12,12-06-2023 03:26,28-06-2023 12:25,16-06-2023 21:28,SHP-001,SUP-09,Online
OR-22573,CUST-09756,12-01-2024 23:25,12-01-2024 23:32,12-01-2024 23:45,12-01-2024 23:49,SHP-004,SUP-09,Retail PoS
OR-22578,CUST-05015,25-04-2024 11:07,05-05-2024 03:33,13-05-2024 05:09,24-05-2024 17:12,SHP-001,SUP-02,Online
OR-22588,CUST-16184,27-01-2020 20:57,06-02-2020 18:09,23-02-2020 03:05,12-02-2020 02:16,SHP-003,SUP-07,Online
OR-22591,CUST-11253,20-07-2017 00:00,26-07-2017 16:18,28-07-2017 07:06,23-08-2017 08:21,SHP-002,SUP-08,Online
OR-22598,CUST-05037,21-09-2020 14:49,24-09-2020 17:52,15-10-2020 17:40,11-10-2020 15:19,SHP-001,SUP-07,Online
OR-22601,CUST-07699,19-08-2019 12:07,23-08-2019 22:53,27-08-2019 00:20,24-08-2019 23:11,SHP-001,SUP-04,Online
OR-22605,CUST-16731,12-12-2020 00:05,16-12-2020 04:39,19-12-2020 11:56,30-12-2020 14:11,SHP-002,SUP-09,Online
OR-22615,CUST-04558,20-12-2022 21:32,31-12-2022 08:35,07-01-2023 07:40,13-01-2023 07:01,SHP-002,SUP-10,Online
OR-22620,CUST-08495,09-02-2024 02:29,16-02-2024 08:41,07-03-2024 10:04,25-02-2024 06:08,SHP-001,SUP-04,Online
OR-22661,CUST-12080,24-08-2013 18:14,24-08-2013 18:22,24-08-2013 18:41,24-08-2013 18:42,SHP-004,SUP-10,Retail PoS
OR-22664,CUST-03977,22-07-2019 09:24,02-08-2019 06:17,08-08-2019 11:37,20-08-2019 00:19,SHP-002,SUP-07,Online
OR-22666,CUST-00926,01-08-2022 23:48,05-08-2022 08:56,17-08-2022 08:38,12-08-2022 22:10,SHP-001,SUP-01,Online
OR-22673,CUST-10923,03-01-2022 06:14,10-01-2022 04:32,17-01-2022 07:41,06-02-2022 01:23,SHP-002,SUP-10,Online
OR-22674,CUST-08230,15-03-2020 12:49,15-03-2020 12:56,15-03-2020 13:09,15-03-2020 13:23,SHP-004,SUP-04,Retail PoS
OR-22676,CUST-02232,29-03-2021 06:39,02-04-2021 21:28,07-04-2021 19:56,25-04-2021 00:01,SHP-002,SUP-09,Online
OR-22677,CUST-17631,01-05-2024 04:02,03-05-2024 17:27,22-05-2024 15:12,21-05-2024 16:34,SHP-003,SUP-09,Online
OR-22678,CUST-17394,12-06-2024 02:04,12-06-2024 02:13,12-06-2024 02:31,12-06-2024 02:21,SHP-004,SUP-07,Retail PoS
OR-22685,CUST-11808,11-06-2023 18:19,19-06-2023 09:30,07-07-2023 04:16,23-06-2023 23:59,SHP-002,SUP-09,Online
OR-22696,CUST-01764,24-02-2023 04:32,26-02-2023 20:43,03-03-2023 08:11,28-02-2023 06:13,SHP-002,SUP-01,Online
OR-22697,CUST-02739,10-04-2022 06:27,18-04-2022 19:42,22-04-2022 07:59,21-04-2022 08:57,SHP-002,SUP-01,Online
OR-22707,CUST-14053,15-09-2022 13:02,25-09-2022 13:26,02-10-2022 22:48,07-10-2022 09:36,SHP-002,SUP-07,Online
OR-22726,CUST-07283,31-03-2024 02:30,07-04-2024 05:20,27-04-2024 10:07,13-04-2024 22:01,SHP-001,SUP-06,Online
OR-22727,CUST-01071,28-06-2024 02:33,29-06-2024 04:29,02-07-2024 03:26,30-06-2024 19:07,SHP-003,SUP-02,Online
OR-22734,CUST-11621,05-05-2024 04:29,07-05-2024 17:41,12-05-2024 01:27,10-05-2024 04:36,SHP-003,SUP-10,Online
OR-22741,CUST-16226,24-05-2024 11:18,24-05-2024 11:23,24-05-2024 11:39,24-05-2024 11:35,SHP-004,SUP-09,Retail PoS
OR-22745,CUST-15184,29-08-2023 05:51,29-08-2023 06:00,29-08-2023 06:21,29-08-2023 06:28,SHP-004,SUP-02,Retail PoS
OR-22748,CUST-01392,01-12-2023 03:04,07-12-2023 04:27,17-12-2023 22:13,16-12-2023 21:28,SHP-002,SUP-02,Online
OR-22749,CUST-16468,26-10-2021 11:10,26-10-2021 11:19,26-10-2021 11:39,26-10-2021 11:34,SHP-004,SUP-08,Retail PoS
OR-22756,CUST-10545,27-04-2024 06:20,05-05-2024 07:20,18-05-2024 19:48,11-05-2024 00:04,SHP-001,SUP-08,Online
OR-22760,CUST-15373,12-10-2023 14:45,23-10-2023 06:06,09-11-2023 05:57,26-11-2023 21:29,SHP-003,SUP-07,Online
OR-22765,CUST-15262,25-03-2024 00:25,25-03-2024 00:30,25-03-2024 00:46,25-03-2024 00:51,SHP-004,SUP-04,Retail PoS
OR-22771,CUST-19923,23-01-2023 10:36,24-01-2023 12:22,01-02-2023 00:24,29-01-2023 12:27,SHP-001,SUP-09,Online
OR-22772,CUST-07101,08-01-2023 01:33,08-01-2023 01:41,08-01-2023 02:01,08-01-2023 01:54,SHP-004,SUP-03,Retail PoS
OR-22776,CUST-07020,13-06-2019 02:40,13-06-2019 02:48,13-06-2019 03:09,13-06-2019 02:56,SHP-004,SUP-09,Retail PoS
OR-22790,CUST-19272,08-10-2018 23:47,08-10-2018 23:56,09-10-2018 00:11,09-10-2018 00:23,SHP-004,SUP-09,Retail PoS
OR-22805,CUST-14172,27-02-2023 13:59,04-03-2023 19:00,16-03-2023 13:44,06-03-2023 11:26,SHP-001,SUP-10,Online
OR-22810,CUST-16282,19-02-2018 23:58,28-02-2018 01:51,20-03-2018 07:13,19-03-2018 08:30,SHP-001,SUP-10,Online
OR-22827,CUST-07953,28-07-2017 08:00,28-07-2017 08:06,28-07-2017 08:21,28-07-2017 08:27,SHP-004,SUP-07,Retail PoS
OR-22831,CUST-09560,30-11-2021 02:48,03-12-2021 04:18,07-12-2021 11:15,06-12-2021 14:51,SHP-001,SUP-04,Online
OR-22835,CUST-15366,02-07-2024 05:07,03-07-2024 12:50,07-07-2024 06:27,06-07-2024 12:07,SHP-001,SUP-04,Online
OR-22838,CUST-12942,29-01-2016 12:04,08-02-2016 01:21,15-02-2016 04:50,09-02-2016 15:26,SHP-003,SUP-10,Online
OR-22845,CUST-07899,14-07-2021 20:04,20-07-2021 06:13,09-08-2021 12:13,08-08-2021 21:03,SHP-001,SUP-01,Online
OR-22862,CUST-09330,14-05-2013 07:32,14-05-2013 07:42,14-05-2013 08:00,14-05-2013 08:02,SHP-004,SUP-08,Retail PoS
OR-22868,CUST-07303,07-04-2023 13:50,07-04-2023 13:56,07-04-2023 14:13,07-04-2023 14:19,SHP-004,SUP-08,Retail PoS
OR-22871,CUST-03073,01-12-2017 06:06,09-12-2017 17:56,10-12-2017 01:04,01-01-2018 18:05,SHP-003,SUP-07,Online
OR-22876,CUST-16745,14-12-2020 12:14,25-12-2020 11:04,06-01-2021 20:44,02-01-2021 22:54,SHP-001,SUP-05,Online
OR-22882,CUST-06666,16-05-2022 02:53,19-05-2022 11:32,29-05-2022 03:11,25-05-2022 16:58,SHP-001,SUP-02,Online
OR-22884,CUST-19816,27-06-2018 22:56,04-07-2018 10:19,09-07-2018 16:34,08-07-2018 05:59,SHP-002,SUP-07,Online
OR-22887,CUST-10401,11-06-2020 22:19,19-06-2020 00:27,20-06-2020 17:25,20-06-2020 09:10,SHP-002,SUP-08,Online
OR-22890,CUST-16775,10-10-2014 04:50,10-10-2014 04:56,10-10-2014 05:16,10-10-2014 05:19,SHP-004,SUP-05,Retail PoS
OR-22891,CUST-07654,28-12-2018 07:43,03-01-2019 00:52,11-01-2019 05:08,07-01-2019 10:46,SHP-002,SUP-05,Online
OR-22895,CUST-07453,20-09-2020 22:20,26-09-2020 05:59,29-09-2020 07:41,29-09-2020 00:05,SHP-001,SUP-10,Online
OR-22899,CUST-06183,28-02-2017 23:49,06-03-2017 11:17,14-03-2017 16:17,11-03-2017 07:30,SHP-002,SUP-04,Online
